Domain,country,Element,Item,year,Source,co2_emissions
"Emissions totals","Brazil","Emissions (CO2)","Net Forest conversion","1997","FAO TIER 1","1385208.6765"
"Emissions totals","Brazil","Emissions (CO2)","Net Forest conversion","1998","FAO TIER 1","1385208.6765"
"Emissions totals","Brazil","Emissions (CO2)","Net Forest conversion","1999","FAO TIER 1","1385208.6765"
"Emissions totals","Brazil","Emissions (CO2)","Net Forest conversion","2000","FAO TIER 1","1385208.6765"
"Emissions totals","Brazil","Emissions (CO2)","Net Forest conversion","2001","FAO TIER 1","1605106.096"
"Emissions totals","Brazil","Emissions (CO2)","Net Forest conversion","2002","FAO TIER 1","1605106.096"
"Emissions totals","Brazil","Emissions (CO2)","Net Forest conversion","2003","FAO TIER 1","1605106.096"
"Emissions totals","Brazil","Emissions (CO2)","Net Forest conversion","2004","FAO TIER 1","1605106.096"
"Emissions totals","Brazil","Emissions (CO2)","Net Forest conversion","2005","FAO TIER 1","1605106.096"
"Emissions totals","Brazil","Emissions (CO2)","Net Forest conversion","2006","FAO TIER 1","1605106.096"
"Emissions totals","Brazil","Emissions (CO2)","Net Forest conversion","2007","FAO TIER 1","1605106.096"
"Emissions totals","Brazil","Emissions (CO2)","Net Forest conversion","2008","FAO TIER 1","1605106.096"
"Emissions totals","Brazil","Emissions (CO2)","Net Forest conversion","2009","FAO TIER 1","1605106.096"
"Emissions totals","Brazil","Emissions (CO2)","Net Forest conversion","2010","FAO TIER 1","1605106.096"
"Emissions totals","Brazil","Emissions (CO2)","Net Forest conversion","2011","FAO TIER 1","780902.6977"
"Emissions totals","Brazil","Emissions (CO2)","Net Forest conversion","2012","FAO TIER 1","780902.6977"
"Emissions totals","Brazil","Emissions (CO2)","Net Forest conversion","2013","FAO TIER 1","780902.6977"
"Emissions totals","Brazil","Emissions (CO2)","Net Forest conversion","2014","FAO TIER 1","780902.6977"
"Emissions totals","Brazil","Emissions (CO2)","Net Forest conversion","2015","FAO TIER 1","780902.6977"
"Emissions totals","Brazil","Emissions (CO2)","Net Forest conversion","2016","FAO TIER 1","653402.772"
"Emissions totals","Brazil","Emissions (CO2)","Net Forest conversion","2017","FAO TIER 1","653402.772"
"Emissions totals","Brazil","Emissions (CO2)","Net Forest conversion","2018","FAO TIER 1","653402.772"
"Emissions totals","Brazil","Emissions (CO2)","Net Forest conversion","2019","FAO TIER 1","653402.772"
